Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Safety_Stock,Reorder_Point,Target_Stock_Level,Inventory_Coverage,Service_Level_Achievement,Inventory_Risk
1152,2221441539,6890.0,102.84,30.33,0.29,67,0.0,Fast Moving,50.04449999999999,152.8845,255.7245,2.4866248541423572,100.0,Low Risk
1152,2221442224,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442311,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442324,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442365,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442370,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442372,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442373,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442375,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442379,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442691,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221442692,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221444712,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221444718,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221453372,137.0,2.04,6.76,3.3,16,0.76,Slow Moving,11.154,13.193999999999999,15.233999999999998,7.467647058823529,100.0,High Risk
1152,2221459956,2204.0,32.9,29.79,0.91,62,0.07,Fast Moving,49.153499999999994,82.05349999999999,114.95349999999999,3.4940273556231003,100.0,Low Risk
1152,2221472836,4.0,0.06,0.29,4.91,3,0.96,Intermittent,0.4784999999999999,0.5385,0.5985,9.975000000000001,100.0,High Risk
1152,2221477558,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221479648,43.0,0.64,1.03,1.61,27,0.6,Fast Moving,1.6995,2.3395,2.9795000000000003,4.655468750000001,100.0,Medium Risk
1152,2221481950,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221493175,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221501478,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221506931,0.0,0.0,0.0,0.0,0,1.0,Dead Stock,0.0,0.0,0.0,0.0,100.0,Dead Inventory
1152,2221523327,126.0,1.88,2.66,1.42,33,0.51,Fast Moving,4.389,6.269,8.149000000000001,4.3345744680851075,100.0,Medium Risk
1152,2221528644,7559.0,112.82,85.34,0.76,66,0.01,Fast Moving,140.811,253.631,366.451,3.248103173196242,100.0,Low Risk
1152,2221528660,6361.0,94.94,79.3,0.84,66,0.01,Fast Moving,130.845,225.785,320.725,3.3781862228776074,100.0,Low Risk
1152,2221528663,6283.0,93.78,76.59,0.82,66,0.01,Fast Moving,126.37349999999999,220.1535,313.9335,3.3475527831094047,100.0,Low Risk
1152,2221531072,491.0,7.33,6.78,0.93,62,0.07,Fast Moving,11.187,18.517,25.847,3.526193724420191,100.0,Low Risk
1152,2221534347,6401.0,95.54,111.45,1.17,66,0.01,Fast Moving,183.89249999999998,279.4325,374.9725,3.9247697299560396,100.0,Medium Risk
