Warehouse,Part_No,Date,Demand,Material_Description
1110,ID332219,2023-08,1032.0,
1110,ID334315,2023-08,1972.0,
1110,IE314595,2023-08,1312.0,
1110,IF000466,2023-08,1108.0,
1110,IM300205,2023-08,5200.0,
1110,MB344408,2023-08,1420.0,
1110,ME074696,2023-08,2008.0,
1110,MF434103,2023-08,1840.0,
1110,MF434104,2023-08,1790.0,
1110,MF434105,2023-08,1650.0,
1110,MF445086,2023-08,1320.0,
1110,MF472127,2023-08,1080.0,
1110,ID364170,2023-08,1387.0,
1110,ID370657,2023-08,1854.0,
1110,ID377754,2023-08,1697.0,
1110,ID378974,2023-08,1648.0,
1110,IA202651,2023-09,2052.0,
1110,IA203086,2023-09,1490.0,
1110,IA203416,2023-09,1622.0,
1110,IA215142,2023-09,2226.0,
1110,IA215577,2023-09,2745.0,
1110,IA215578,2023-09,1719.0,
1110,IA301086,2023-09,3594.0,
1110,IA328687,2023-09,1800.0,
1110,IA329978,2023-09,630.0,
1110,IB002922,2023-09,5889.0,
1110,IB999850,2023-09,1455.0,
1110,ID201024,2023-09,14441.0,
1110,ID206974,2023-09,7785.0,
1110,ID301958,2023-09,12042.0,
1110,ID304913,2023-09,1800.0,
1110,ID309786,2023-09,1984.0,
1110,ID332218,2023-09,5989.0,
1110,ID332219,2023-09,2404.0,
1110,ID334315,2023-09,1561.0,
1110,IE314595,2023-09,810.0,
1110,IF000466,2023-09,1289.0,
1110,IM300205,2023-09,4520.0,
1110,MB344408,2023-09,740.0,
1110,ME074696,2023-09,2300.0,
1110,MF434103,2023-09,1710.0,
1110,MF434104,2023-09,1470.0,
1110,MF434105,2023-09,1920.0,
1110,MF445086,2023-09,1950.0,
1110,MF472127,2023-09,810.0,
1110,ID364170,2023-09,5842.0,
1110,ID370657,2023-09,1613.0,
1110,ID377754,2023-09,1588.0,
1110,ID378974,2023-09,1590.0,
1110,IA202651,2023-10,1555.0,
1110,IA203086,2023-10,1180.0,
1110,IA203416,2023-10,1692.0,
1110,IA215142,2023-10,1257.0,
1110,IA215577,2023-10,1954.0,
1110,IA215578,2023-10,1827.0,
1110,IA301086,2023-10,3320.0,
1110,IA328687,2023-10,1192.0,
1110,IA329978,2023-10,1680.0,
1110,IB002922,2023-10,3038.0,
1110,IB999850,2023-10,2046.0,
1110,ID201024,2023-10,1451.0,
1110,ID206974,2023-10,455.0,
1110,ID301958,2023-10,1933.0,
1110,ID304913,2023-10,1710.0,
1110,ID309786,2023-10,2432.0,
1110,ID332218,2023-10,1141.0,
1110,ID332219,2023-10,565.0,
1110,ID334315,2023-10,1742.0,
1110,IE314595,2023-10,1140.0,
1110,IF000466,2023-10,1260.0,
1110,IM300205,2023-10,3760.0,
1110,MB344408,2023-10,880.0,
1110,ME074696,2023-10,2040.0,
1110,MF434103,2023-10,1500.0,
1110,MF434104,2023-10,870.0,
1110,MF434105,2023-10,1770.0,
1110,MF445086,2023-10,900.0,
1110,MF472127,2023-10,1260.0,
1110,ID364170,2023-10,753.0,
1110,ID370657,2023-10,1676.0,
1110,ID377754,2023-10,1626.0,
1110,ID378974,2023-10,1710.0,
1110,IA202651,2023-11,1853.0,
1110,IA203086,2023-11,1110.0,
1110,IA203416,2023-11,2060.0,
1110,IA215142,2023-11,956.0,
1110,IA215577,2023-11,1496.0,
1110,IA215578,2023-11,1412.0,
1110,IA301086,2023-11,1330.0,
1110,IA328687,2023-11,1366.0,
1110,IA329978,2023-11,2250.0,
1110,IB002922,2023-11,3669.0,
1110,IB999850,2023-11,1501.0,
1110,ID201024,2023-11,1485.0,
1110,ID206974,2023-11,366.0,
1110,ID301958,2023-11,3763.0,
1110,ID304913,2023-11,1800.0,
1110,ID309786,2023-11,2696.0,
1110,ID332218,2023-11,1171.0,
1110,ID332219,2023-11,1140.0,
1110,ID334315,2023-11,1702.0,
1110,IE314595,2023-11,510.0,
1110,IF000466,2023-11,1864.0,
1110,IM300205,2023-11,3737.0,
1110,MB344408,2023-11,780.0,
1110,ME074696,2023-11,1280.0,
1110,MF434103,2023-11,1590.0,
1110,MF434104,2023-11,1560.0,
1110,MF434105,2023-11,1200.0,
1110,MF445086,2023-11,1170.0,
1110,MF472127,2023-11,900.0,
1110,ID364170,2023-11,502.0,
1110,ID370657,2023-11,2135.0,
1110,ID377754,2023-11,2220.0,
1110,ID378974,2023-11,1696.0,
1110,IA202651,2023-12,1923.0,
1110,IA203086,2023-12,1390.0,
1110,IA203416,2023-12,2126.0,
1110,IA215142,2023-12,1946.0,
1110,IA215577,2023-12,2972.0,
1110,IA215578,2023-12,3036.0,
1110,IA301086,2023-12,2606.0,
1110,IA328687,2023-12,1802.0,
1110,IA329978,2023-12,2010.0,
1110,IB002922,2023-12,7939.0,
1110,IB999850,2023-12,2748.0,
1110,ID201024,2023-12,3838.0,
1110,ID206974,2023-12,822.0,
1110,ID301958,2023-12,5087.0,
1110,ID304913,2023-12,2735.0,
1110,ID309786,2023-12,2976.0,
1110,ID332218,2023-12,1954.0,
1110,ID332219,2023-12,1243.0,
1110,ID334315,2023-12,2272.0,
1110,IE314595,2023-12,1140.0,
1110,IF000466,2023-12,2000.0,
1110,IM300205,2023-12,6160.0,
1110,MB344408,2023-12,1000.0,
1110,ME074696,2023-12,3204.0,
1110,MF434103,2023-12,1500.0,
1110,MF434104,2023-12,1500.0,
1110,MF434105,2023-12,1770.0,
