Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class,Demand_Percentage,Cumulative_Percentage,ABC_Class,XYZ_Class,ABC_XYZ,Forecast_Strategy
1153,IA450494,37960.0,566.57,418.78,0.74,55,0.18,Fast Moving,0.0400880787936392,30.85893919737585,A,Y,AY,ARIMA
1153,ID350638,37747.0,563.39,364.74,0.65,67,0.0,Fast Moving,0.0398631377824948,30.898802335158347,A,Y,AY,ARIMA
1153,MF430121,37720.0,562.99,214.8,0.38,67,0.0,Fast Moving,0.0398346241331947,30.938636959291543,A,X,AX,Holt-Winters
1152,ID334315,37698.0,562.66,527.93,0.94,67,0.0,Fast Moving,0.0398113907893207,30.978448350080864,A,Y,AY,ARIMA
1155,IZ300288,37659.0,562.07,429.15,0.76,51,0.24,Fast Moving,0.0397702044069984,31.018218554487863,A,Y,AY,ARIMA
1110,ID356562,37567.0,560.7,557.76,0.99,63,0.06,Fast Moving,0.0396730467871614,31.057891601275024,A,Y,AY,ARIMA
1153,MF243624,37484.0,559.46,452.5,0.81,65,0.03,Fast Moving,0.039585393717091,31.09747699499212,A,Y,AY,ARIMA
1155,ME011934,37444.0,558.87,280.29,0.5,67,0.0,Fast Moving,0.0395431512736836,31.1370201462658,A,X,AX,Holt-Winters
1110,ID346437,37180.0,554.93,315.53,0.57,67,0.0,Fast Moving,0.0392643511471946,31.176284497413,A,Y,AY,ARIMA
1152,ID309786,36986.0,552.03,464.56,0.84,67,0.0,Fast Moving,0.0390594752966686,31.21534397270966,A,Y,AY,ARIMA
1110,ME011832,36952.0,551.52,312.06,0.57,67,0.0,Fast Moving,0.0390235692197723,31.25436754192944,A,Y,AY,ARIMA
1110,MS602013,36893.0,550.64,349.83,0.64,65,0.03,Fast Moving,0.0389612616157464,31.29332880354518,A,Y,AY,ARIMA
1110,IA209911,36877.0,550.4,286.48,0.52,67,0.0,Fast Moving,0.0389443646383834,31.33227316818356,A,Y,AY,ARIMA
1110,IB003964,36869.0,550.28,398.5,0.72,67,0.0,Fast Moving,0.0389359161497019,31.371209084333262,A,Y,AY,ARIMA
1110,ID201610,36777.0,548.91,218.68,0.4,67,0.0,Fast Moving,0.0388387585298649,31.41004784286313,A,X,AX,Holt-Winters
1155,ID376613,36751.0,548.52,367.09,0.67,67,0.0,Fast Moving,0.0388113009416501,31.44885914380478,A,Y,AY,ARIMA
1153,MB302648,36746.0,548.45,191.92,0.35,67,0.0,Fast Moving,0.0388060206362241,31.487665164441,A,X,AX,Holt-Winters
1155,IA301086,36689.0,547.6,407.52,0.74,52,0.22,Fast Moving,0.0387458251543686,31.52641098959537,A,Y,AY,ARIMA
