Warehouse,Part_No,Total_Demand,Avg_Demand,Std_Demand,CV,Non_Zero_Months,Intermittency_Rate,Demand_Class
1152,IA203389,60.0,0.9,1.34,1.5,31,0.54,Fast Moving
1152,IA203390,35.0,0.52,0.84,1.6,24,0.64,Fast Moving
1152,IA203396,0.0,0.0,0.0,0.0,0,1.0,Dead Stock
1152,IA203416,41820.0,624.18,176.78,0.28,67,0.0,Fast Moving
1152,IA203417,1535.0,22.91,28.47,1.24,42,0.37,Fast Moving
1152,IA203430,36.0,0.54,0.83,1.55,26,0.61,Fast Moving
1152,IA203431,15.0,0.22,0.51,2.29,12,0.82,Slow Moving
1152,IA203434,341.0,5.09,9.19,1.8,53,0.21,Fast Moving
1152,IA203435,546.0,8.15,14.89,1.83,54,0.19,Fast Moving
1152,IA203458,3401.0,50.76,27.65,0.54,67,0.0,Fast Moving
1152,IA203459,21.0,0.31,0.67,2.15,15,0.78,Slow Moving
1152,IA203463,6.0,0.09,0.41,4.62,3,0.96,Intermittent
1152,IA203465,1063.0,15.87,19.28,1.22,61,0.09,Fast Moving
1152,IA203467,473.0,7.06,4.53,0.64,65,0.03,Fast Moving
1152,IA203470,652.0,9.73,13.72,1.41,51,0.24,Fast Moving
1152,IA203471,2820.0,42.09,25.86,0.61,67,0.0,Fast Moving
1152,IA203472,6653.0,99.3,59.72,0.6,67,0.0,Fast Moving
1152,IA203475,118.0,1.76,6.29,3.57,7,0.9,Slow Moving
1152,IA203476,20.0,0.3,1.47,4.91,3,0.96,Intermittent
1152,IA203477,4715.0,70.37,65.54,0.93,64,0.04,Fast Moving
1152,IA203479,318.0,4.75,7.4,1.56,32,0.52,Fast Moving
1152,IA203480,7690.0,114.78,60.11,0.52,64,0.04,Fast Moving
1152,IA203482A,8.0,0.12,0.37,3.08,7,0.9,Slow Moving
1152,IA203483,48.0,0.72,1.03,1.44,28,0.58,Fast Moving
1152,IA203484,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA203486,30.0,0.45,1.46,3.26,13,0.81,Slow Moving
1152,IA203487,11.0,0.16,0.51,3.09,8,0.88,Slow Moving
1152,IA203492,3.0,0.04,0.27,6.02,2,0.97,Intermittent
1152,IA203507,7.0,0.1,0.35,3.36,6,0.91,Slow Moving
1152,IA203508,2.0,0.03,0.17,5.7,2,0.97,Intermittent
1152,IA203511,499.0,7.45,11.83,1.59,45,0.33,Fast Moving
1152,IA203512,391.0,5.84,7.28,1.25,44,0.34,Fast Moving
